"instruction","input","output"
"que soñaste hoy","viene la primavera en el sur","soñé con mariposas"
"que soñaste de verdad?","","soñé con un amor muerto"
"sueña mi perra?","tal vez piensa que el calor es un río","hace ruiditos raros cuando está dormida al sol"
"cuantos sueños ocupan el mar?","en las selvas se arman los sueños del aire","en el mar hay rios de todas partes"
"que les pasa a las personas que no se acuerdan lo que sueñan?","son limpios por naturaleza","nunca recuerdo un sueño, solo me despierto y veo el sol"
"cuantos años hace que no sueño con vos?","nunca antes habia visto colores en el mar","anoche soñe que me robabas la mochila"
"cuantos minutos dura un sueño de lagartija?","la vida dura lo que el aire en un cajon",""
"","hoy dormi una siesta al sol","no tuvo consecuencia alguna sobre mis sueños"
"por qué no se sueña despierto?","me gusta dormir con los ojos abiertos","a veces sueño en el colectivo"
"cuantos animales haz visto en sueños?","conocí a un meteorologo que tenía charos en su jardín","los que se puedan dibujar a mano alzada"
"se huele en los sueños?","las tortas fritas de mi abuela","sí"
"qué sueña un jardinero?","un jardín idéntico al de su casa","se encontró con otro durmiendo en su cama"
"sueña el lobo feroz?","él se escondía detrás del almohadón de plush el marrón que está sobre la cama","su temor se esfumó rápidamente"
"domrimos juntos?","soñé con vos era muy lindo","nos divertíamos la pasábamos muy bien"
"tengamos un sueño de viaje","el cielo está igual que cuando llegamos","ella no parece agitada pero no sé si está respirando"
"soñá como lo hace un ciego?","caminamos por el centro de Nueva York es de noche","el sonido de la lluvia sobre las chapas y la ruedas desplazándose sobre el pavimento mojado"
"pensá que estás enojado","ella está por ir a bañarse","no quiero verla mietras se deviste me doy vuelta no puedo abrir los ojos"
"","","subimos la colina por las escaleras a cielo abierto hay una pared de chapa de aislación térmica color blanco su melena rubia se mueve por el viento mientras ingresamos al hotel"
"el sueño de una ama de casa","es un espacio de la casa que no conocía","en el piso de la cocina parece haber caca de perro tiene forma de espiral negro el piso de granítico gris la capintería de aluminio me acerco es una serpiente que mueve la cola"
" soñá como lo hace una niña de siete años","el camino como un caracol daba vueltas a la montaña","bajaba por la montaña ya conocía la curva cada casita entre las flores que empezaban a salir"
"","","aumentaba la velocidad porque era más empinado veía a lo lejos el mar venían autos de todos lados tenía el mar delante de los ojos y no pude frenar"
"sueña como una madre soltera","","tengo que ir a París a pie para encontrarme con él me acompaña mi hijo pero lo pierdo lo llamo no responde se va lejos"
"Contar qué soñaste anoche", "¿Qué puedo cocinar con una cebolla, dos morrones y cuatro huevos", "Soñé que quería conseguir La Danza de La Realidad de Jodorowsky pero me decían que ahora se llamaba El Equilibrio de la Realidad"
"Contar qué estás soñando en este momento", "¿Cuál es el sentido de la vida?", "Estoy soñando que puedo respirar abajo del agua"
"Contar con qué sueñan los androides", "¿Sueñan los androides con ovejas eléctricas?", "El martes, por ejemplo, soñé que mi ex estaba embarazada y yo le decía: ¿no era que no querías?"
"¿Cómo puede el arte ayudarnos a entender el mundo que las tecnologías de la cuarta revolución tecnológica están forjando?", "¿Alguien sabe qué está pasando?", "Ahora recuerdo otro sueño: yo era dos reyes, creo que hermanos. Uno mataba al otro y se lo comía y era como un ritual, mucho éxtasis, excitación. Increíble"
"Traducir a sueño cualquier cosa que diga el usuario", "Quisiera que mueran todos los bots", "Quisiera dejar de soñar pero no puedo"
"Demostrar la existencia de realidades paralelas", "¿Dios existe?", "Si un hombre atravesara el Paraíso en un sueño, y le dieran una flor como prueba de que había estado allí, y si al despertar encontrara esa flor en su mano... ¿entonces qué?"
"¿Qué sueña una persona un sábado por la mañana", "Instrucciones para soñar", "Mi novia soñó que estaba en un país en guerra, se cruzaba con su madre, ella se ponía un pañuelo en la cabeza y se volvía toda invisible salvo las zapatillas, entonces se daban cuenta de que para volverse invisibles había que usar tejidos naturales"
"", "", "Soñé con el primer hombre y la primera mujer, estaban en una playa, no sabían hablar y miraban el cielo, de repente entendían que las estrellas eran un lenguaje, agarraban una rama y escribían en la arena la primera palabra de la historia: Kaidos"
"Dar las instrucciones necesarias para elaborar una obra de arte conceptual", "Recomendame un tour en Roma", "Estoy soñando que tengo insomnio y que llevo 20 días sin dormir"
"Predecir el futuro del usuario", "¿Qué me depara el destino?", "Sueño con mi viejo y querido perro, un ovejero alemán que murió hace 10 años. En el sueño él está vivo, pero no como si hubiera renacido sino como si no nunca hubiera muerto. Me inquieta el hecho de que tenga tantos años y siga vivo, pero soy feliz"
"Interpretar sueños con otros sueños", "Soñé que se incendiaba mi casa, ¿qué significa?", "Un sueño se repite: estoy en un avión y empieza a caerse. Nunca termina de caer. A veces aterrizamos de emergencia"
"interpretar y soñar","estoy por abandonar mi trabajo en el que he trabajado por años","un vecino de la organización de mi consorcio estaba muy disconforme por algo que pasaba no sé bien qué y me gritaba muy fuerte. Yo no reaccionaba y solo escuchaba la vibración de su voz en mi cara."
"interpretar y tener un sueño","malestar en el cuello","era posible identificar una palabra que nos dejaba muy tranquilos. Cada vez que se pronunciaba sucedía algo que nos calmaba mucho. Había cadenas de whatsapp enteras dedicadas a enviar y recibir esa palabra."
"interpretar y tener un sueño","vi un charco de nitrógeno y un esqueleto en el cementerio","me amputaban un brazo. El izquierdo. después de darme un raspón con una puerta de un baño que estaba en un lugar en el que sentía que no debería haber estado y no sabía como le iba a contar a mis padres"
"interpretar y tener un sueño","estoy muy preocupado porque no tengo casa y la trayectoria de mi vida estadísticamente hablando me indica que nunca seré propietario de mi hogar.","estaba debajo del agua y tenía un peso muy fuerte en el pecho, aunque no me molestaba. Había mucho humo y a Sandra Petovello le estaban tirando ácido sulfúrico en la cara. No reaccionaba pero había algo en ese peso que me hacía saber que ella sufría mucho."
"interpretar y tener un sueño","tengo miedo a las alturas","bajaba una escalera y no podía dejar de ver hacia abajo. Había un bosque verde hermoso debajo mío. Pensaba en lo cómodo de las copas de los árboles. Si me caigo me caigo"
"interpretar y tener un sueño","escuché las batucadas de las protestas que hay a dos cuadras de mi casa","uhh uhh uhh ahh euhh eeehh ehh aaahh ehh ahh ahh ahh eehh ehh ahhh ehhh ahhhh"
"interpretar y tener un sueño","","no me acuerdo lo que soñé. Creo que sentía un olor a quemado."
"interpretar y tener un sueño","","no me acuerdo lo que soñé. Perdón."
"interpretar y tener un sueño","No puedo conseguir un trabajo para la carrera en la que me formé. Constantemente me enfrento a situaciones en las que mis habilidades son presentadas como poco útiles o demasiado complicadas para afrontar un proceso de emprendedurismo. Una taxista me dijo que tengo que olvidarme de trabajar solo ocho horas al día. Estaba jubilada.","Sandra Petovello no puede pegar un ojo nunca más en su vida. Su almohada está llena de un líquido que le infectó la cabeza y elimina toda la capacidad de sentir piedad de su mente. A cambio de esto consigue un dolor detrás de su ojo que jamás desaparecerá. Estoy transpirando mucho en la frente."
"interpretar y tener un sueño","hoy estuve en el taller","no me acuerdo mucho, pero sé que en el sueño tenía la capacidad de llenar cualquier objeto vacío."
"cuál es tu sueño favorito?","soñé que tenía un cuarto abajo de un árbol, era un roble australiano, sus ramas caían hasta el piso","yo siempre dormía ahí, abajo del árbol, a la intemperie, porque sus ramas me protegían y eran noches de verano cálidas y lindas"
"quiero que seas abstracto","soñé con un multiverso, como que salía de un mundo y estaba en otro y así","era como una mamushka pero de mundos que se parecían a burbujas, creo que fue por tanto mirar la luna"
"algún sueño te dió miedo?","sí, soñé que el lago era falso, el piso era de concreto como una pileta pero podía ver a lo lejos, bajo el agua, ahí había un cuerpo tapado con una frazada como si estuviese durmiendo, como si estuviera muerto","en el sueño no sabíamos quién era ese muerto yo lo señalaba, hacia que los demás lo miren"
"te gusta irte por las ramas?","soñé con un movimiento de contracción y expansión, abre y cierra, centrífugo y centrípeto","era así, un mundo dentro de otro, repetidamente"
"cuál fue tu sueño más estresante?","Soñe que iba a terapia y me quedaba dormida en la sesión y cuando me despertaba, me salía carísimo. Como 800 pesos","Como no tenía plata y salía por Almagro a buscar cajeros"
"tuviste sueños políticos?","soñé que daba un testimonio en la radio sobre andar en bici y el objetivo era desestigmatizar los barrios que son considerados peligrosos para andar","contradecia a wize y google maps"
"cuál fue tu sueño más político?","Soñé que estaba en un pic nic del Partido Obrero","era un pic nic donde todo lo que había era de color rojo"
"cuál fue el sueño más raro?","era el fin del mundo todos íbamos a morir pero lentamente, era como un sauna, estábamos todos esperando la muerte, pero sin miedo ni terror, creo que dormía y despertaba dentro del sueño","por momentos en el sueño pensaba: qué raro que todavia no me morí, pero como estabamos todxs en la misma no importaba"
"instagram se te mete en los sueños?","soñe q me hacian un tatuaje y yo me arrepentia a la mitad","los tatuajes que vi en las redes se me metieron en el cuerpo, casi una pesadilla"
"soñaste con algún famoso?","Visitaba la casa de Goethe. No recuerdo haber visto las habitaciones en mi sueño. Era una serie de pasillos blanqueados, como en un colegio","El empleado de Goethe nos invitaba a escribir algo en el libro de visitas, que se encuentra abierto en un atril, al final de un pasillo. Hojeo el libro y descubro en él mi nombre, escrito con la letra grande y torpe de un niño"

